Lake,species,d15N,TL,For_area,Agr_area,pH,POM_NC_ratio,PC1,PC2,d2H
Alajarvi,Asellus_littoral,5.06341835068508,1.45957219961326,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-125.985605041424
Alajarvi,Asellus_littoral,6.48554024667169,1.87784334549167,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-151.344327883762
Alajarvi,Bleak,10.2962,2.99862562588235,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-178.356343005489
Alajarvi,Bleak,9.764363,2.84220297882353,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-160.07938309287
Alajarvi,Bleak,10.52271,3.06524621411765,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-161.235735762585
Alajarvi,Bleak,9.704942,2.82472621411765,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-156.790994974272
Alajarvi,Bulk_BMI_littoral,6.77833897641284,1.96396061894495,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-140.902893143172
Alajarvi,Bulk_BMI_littoral,7.04669623659572,2.04288922488109,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-156.76554690785
Alajarvi,Bulk_BMI_profundal,6.90448847270395,2.00106341197175,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-135.196074146784
Alajarvi,Bulk_ZPL,7.869405738,2.28486260764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-148.170915413151
Alajarvi,Bulk_ZPL,6.349933396,1.83795897764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-130.01271190731
Alajarvi,Chironomid_littoral,6.3319836643016,1.83267964479459,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-172.437459564526
Alajarvi,Chironomid_littoral,6.44357606468135,1.86550093902393,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-162.108283642504
Alajarvi,Chironomid_Profundal,5.91711063485433,1.71065816554539,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-146.266184115369
Alajarvi,Cladocera,6.562952255,1.90061158323529,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-140.149671272845
Alajarvi,Cladocera,7.238793489,2.09938841676471,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-150.020243531418
Alajarvi,Perch_large,12.34007,3.59976386117647,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-159.558781421398
Alajarvi,Perch_large,12.59194,3.67384327294118,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-155.040274601567
Alajarvi,Perch_medium,12.39381,3.61556974352941,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-160.233342385238
Alajarvi,Perch_medium,11.94168,3.48259033176471,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-158.569976583898
Alajarvi,Perch_medium,12.06183,3.51792856705882,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-162.305917107373
Alajarvi,Perch_medium,11.70577,3.41320503764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-158.90425582947
Alajarvi,Perch_medium,11.72694,3.41943150823529,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-162.3028579297
Alajarvi,Perch_medium,12.19571,3.55730503764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-157.701016862303
Alajarvi,Perch_medium,12.18346,3.55370209647059,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-150.918677902273
Alajarvi,Perch_small,11.43411,3.33330503764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-154.623384717243
Alajarvi,Perch_small,11.36538,3.31309033176471,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-167.752300086252
Alajarvi,Perch_small,11.525,3.36003739058824,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-162.194018126342
Alajarvi,Perch_small,11.62826,3.39040797882353,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-166.749585012487
Alajarvi,Perch_small,11.97671,3.49289327294118,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-166.89502700465
Alajarvi,Roach_large,10.90294,3.17707856705882,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-160.305396664658
Alajarvi,Roach_large,11.29597,3.29267562588235,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-145.426477932781
Alajarvi,Roach_large,11.06541,3.22486386117647,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-154.656317198239
Alajarvi,Roach_large,11.5528,3.36821386117647,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-166.414829204475
Alajarvi,Roach_large,10.97182,3.19733739058824,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-157.344964458864
Alajarvi,Roach_small,10.75651,3.13401092,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-167.966486056049
Alajarvi,Roach_small,9.871384,2.87367974352941,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-177.266033928339
Alajarvi,Roach_small,10.22743,2.97839915529412,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-162.942894428604
Alajarvi,Roach_small,10.4669,3.04883150823529,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-158.037239137356
