Lake,species,d15N,TL,For_area,Agr_area,pH,POM_NC_ratio,PC1,PC2,d2H
Alajarvi,Asellus_littoral,5.06341835068508,1.45957219961326,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-122.686334458097
Alajarvi,Asellus_littoral,6.48554024667169,1.87784334549167,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-142.090031885601
Alajarvi,Bleak,10.2962,2.99862562588235,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-151.905305581529
Alajarvi,Bleak,9.764363,2.84220297882353,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-139.857012454731
Alajarvi,Bleak,10.52271,3.06524621411765,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-138.615206951014
Alajarvi,Bleak,9.704942,2.82472621411765,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-137.526417568213
Alajarvi,Bulk_BMI_littoral,6.77833897641284,1.96396061894495,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-132.217864482366
Alajarvi,Bulk_BMI_littoral,7.04669623659572,2.04288922488109,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-145.115019924746
Alajarvi,Bulk_BMI_profundal,6.90448847270395,2.00106341197175,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-127.001080180063
Alajarvi,Bulk_ZPL,7.869405738,2.28486260764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-135.583315972075
Alajarvi,Bulk_ZPL,6.349933396,1.83795897764706,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-123.685400308398
Alajarvi,Chironomid_littoral,6.3319836643016,1.83267964479459,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-161.140544831233
Alajarvi,Chironomid_littoral,6.44357606468135,1.86550093902393,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-151.658539167597
Alajarvi,Chironomid_Profundal,5.91711063485433,1.71065816554539,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-139.197363098848
Alajarvi,Cladocera,6.562952255,1.90061158323529,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-132.093124221933
Alajarvi,Cladocera,7.238793489,2.09938841676471,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-138.820007151501
Alajarvi,Perch_large,12.34007,3.59976386117647,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-132.688045503337
Alajarvi,Perch_large,12.59194,3.67384327294118,77.57458983,12.21185538,6.85,0.0828782173746101,-0.239660097254651,-2.48536450210651,-129.0472429178
