Lake;d2H_water_center;d2H_benthic_algae;d2H_DOM;d2H_bact_w017_modelled;d2H_phyto_modelled
Alajärvi;-76.71801289;-181.4523709;-113.95252;-107.6226538;-186.4180129
Arkusjärvi;-65.4445781;-220.5391905;-124.1695496;-114.1863044;-175.1445781
Eräjärvi;-62.6608335;-170.2095201;-113.75776;-105.071282;-172.3608335
Haapajärvi;-83.55015796;-202.9093868;-121.50852;-115.0555968;-193.250158
Hiidenvesi;-71.25510281;-152.7682771;-107.76078;-107.3981103;-180.9551028
Hirvijärvi;-86.37315752;-203.5456703;-114.93992;-104.1248817;-196.0731575
Horkajärvi;-73.37519532;-142.5071129;-121.4700782;-107.8739156;-183.0751953
Hämeenjärvi;-68.88224895;-185.4320986;-114.8009;-112.5301472;-178.582249
Joroisselkä;-73.34500745;-153.3400324;-112.69943;-106.0091761;-183.0450075
Jyväsjärvi;-83.45084524;-194.7726651;-124.09401;-117.1846732;-193.1508452
Kakkisenjärvi;-79.82881359;-191.2552383;-130.66291;-122.0211105;-189.5288136
Kakskerranjärvi;-56.83130663;-158.0118785;-131.77752;-119.0366617;-166.5313066
Kuhajärvi;-76.315645;-187.2659724;-134.79843;-120.1635496;-186.015645
Kuontijärvi;-87.88111818;-186.0405419;-142.46341;-126.8224907;-197.5811182
Köyliönjärvi;-61.91824597;-200.2761938;-129.14445;-128.7707308;-171.618246
Majajärvi;-76.56252309;-176.7680455;-121.47008;-113.8357938;-186.2625231
Niemisjärvi;-77.71012315;-194.4016691;-116.15234;-109.6171607;-187.4101232
Pankajärvi;-74.0472593;-201.2610854;-116.21428;-109.0458876;-183.7472593
Pesosjärvi;-91.44872585;-189.3702142;-133.41737;-126.282697;-201.1487259
Pusulanjärvi;-70.32906975;-141.1266899;-110.11118;-103.3482182;-180.0290698
Pyhäjärvi;-74.96111659;-201.8184445;-113.65154;-107.0741703;-184.6611166
Pääjärvi;-74.48660347;-221.0771894;-119.96635;-112.2347898;-184.1866035
Ruokojärvi;-68.82029415;-185.7535365;-135.34955;-124.0395778;-178.5202942
Suuri Jukajärvi;-72.59925358;-197.3594394;-124.16955;-107.7536817;-182.2992536
Suuri-Vahvanen;-66.04228127;-184.6553704;-114.95399;-114.287914;-175.7422813
Sääksjärvi;-77.98351182;-175.1275408;-117.4659467;-110.7539312;-187.6835118
Sääskjärvi;-73.865191;-148.3569505;-108.57592;-102.675097;-183.565191
Tottijärvi;-62.24044408;-131.1880948;-109.67851;-101.6140361;-171.9404441
Valkea-Kotinen;-63.7111489;-195.3198371;-121.4700782;-111.6510602;-173.4111489
Vesijärvi;-65.13213053;-160.825762;-105.77849;-98.86860931;-174.8321305
Viippero;-78.98565055;-172.042141;-126.36413;-118.3097904;-188.6856506
Viitaanjärvi;-89.03522168;-213.3253782;-127.75703;-121.1743208;-198.7352217
Villikkalanjärvi;-74.96111659;-192.7297472;-109.3025;-103.4644617;-184.6611166
Ylisjärvi;-60.88686046;-209.8190921;-127.79869;-116.4236811;-170.5868605
Älänne;-87.39073096;-204.3207012;-121.93307;-116.0608698;-197.090731
