source,Lake,Meand2H,SDd2H,n
Aq,Alajarvi,-186.41801289,23.568178436,24
Ter,Alajarvi,-113.95252,11.24911444,26
Aq,Alanne,-197.09073096,23.568178436,24
Ter,Alanne,-121.93307,11.24911444,26
Aq,Arkusjarvi,-175.1445781,23.568178436,24
Ter,Arkusjarvi,-124.1695496,11.24911444,26
Aq,Erajarvi,-172.3608335,23.568178436,24
Ter,Erajarvi,-113.75776,11.24911444,26
Aq,Haapajarvi,-193.25015796,23.568178436,24
Ter,Haapajarvi,-121.50852,11.24911444,26
Aq,Hameenjarvi,-178.58224895,23.568178436,24
Ter,Hameenjarvi,-114.8009,11.24911444,26
Aq,Hiidenvesi,-180.95510281,23.568178436,24
Ter,Hiidenvesi,-107.76078,11.24911444,26
Aq,Hirvijarvi,-196.07315752,23.568178436,24
Ter,Hirvijarvi,-114.93992,11.24911444,26
Aq,Horkajarvi,-183.07519532,23.568178436,24
Ter,Horkajarvi,-121.4700782,11.24911444,26
Aq,Joroisselka,-183.04500745,23.568178436,24
Ter,Joroisselka,-112.69943,11.24911444,26
Aq,Jyvasjarvi,-193.15084524,23.568178436,24
Ter,Jyvasjarvi,-124.09401,11.24911444,26
Aq,Kakkisenjarvi,-189.52881359,23.568178436,24
Ter,Kakkisenjarvi,-130.66291,11.24911444,26
Aq,Kakskerranjarvi,-166.53130663,23.568178436,24
Ter,Kakskerranjarvi,-131.77752,11.24911444,26
Aq,Koylionjarvi,-171.61824597,23.568178436,24
Ter,Koylionjarvi,-129.14445,11.24911444,26
Aq,Kuhajarvi,-186.015645,23.568178436,24
Ter,Kuhajarvi,-134.79843,11.24911444,26
Aq,Kuontijarvi,-197.58111818,23.568178436,24
Ter,Kuontijarvi,-142.46341,11.24911444,26
Aq,Majajarvi,-186.26252309,23.568178436,24
Ter,Majajarvi,-121.47008,11.24911444,26
Aq,Niemisjarvi,-187.41012315,23.568178436,24
Ter,Niemisjarvi,-116.15234,11.24911444,26
Aq,Paajarvi,-184.18660347,23.568178436,24
Ter,Paajarvi,-119.96635,11.24911444,26
Aq,Pankajarvi,-183.7472593,23.568178436,24
Ter,Pankajarvi,-116.21428,11.24911444,26
Aq,Pesosjarvi,-201.14872585,23.568178436,24
Ter,Pesosjarvi,-133.41737,11.24911444,26
Aq,Pusulanjarvi,-180.02906975,23.568178436,24
Ter,Pusulanjarvi,-110.11118,11.24911444,26
Aq,Pyhajarvi,-184.66111659,23.568178436,24
Ter,Pyhajarvi,-113.65154,11.24911444,26
Aq,Ruokojarvi,-178.52029415,23.568178436,24
Ter,Ruokojarvi,-135.34955,11.24911444,26
Aq,Saaksjarvi,-187.68351182,23.568178436,24
Ter,Saaksjarvi,-117.4659467,11.24911444,26
Aq,Saaskjarvi,-183.565191,23.568178436,24
Ter,Saaskjarvi,-108.57592,11.24911444,26
Aq,Suuri-Vahvanen,-175.74228127,23.568178436,24
Ter,Suuri-Vahvanen,-114.95399,11.24911444,26
Aq,Suuri Jukajarvi,-182.29925358,23.568178436,24
Ter,Suuri Jukajarvi,-124.16955,11.24911444,26
Aq,Tottijarvi,-171.94044408,23.568178436,24
Ter,Tottijarvi,-109.67851,11.24911444,26
Aq,Valkea-Kotinen,-173.4111489,23.568178436,24
Ter,Valkea-Kotinen,-121.4700782,11.24911444,26
Aq,Vesijarvi,-174.83213053,23.568178436,24
Ter,Vesijarvi,-105.77849,11.24911444,26
Aq,Viippero,-188.68565055,23.568178436,24
Ter,Viippero,-126.36413,11.24911444,26
Aq,Viitaanjarvi,-198.73522168,23.568178436,24
Ter,Viitaanjarvi,-127.75703,11.24911444,26
Aq,Villikkalanjarvi,-184.66111659,23.568178436,24
Ter,Villikkalanjarvi,-109.3025,11.24911444,26
Aq,Ylisjarvi,-170.58686046,23.568178436,24
Ter,Ylisjarvi,-127.79869,11.24911444,26
