source,Lake,d2H
Aq,Alajarvi,-178.003612591681
Aq,Alajarvi,-182.08732961451
Aq,Alajarvi,-204.693771987444
Aq,Alajarvi,-179.550302721877
Aq,Alajarvi,-154.88956052228
Aq,Alajarvi,-214.692145271135
Aq,Alajarvi,-164.75281803742
Aq,Alajarvi,-156.556912053855
Aq,Alajarvi,-173.641005653407
Aq,Alajarvi,-158.658994627825
Aq,Alajarvi,-165.443449649786
Aq,Alajarvi,-177.783950178497
Aq,Alajarvi,-199.064827617908
Aq,Alajarvi,-216.227220714131
Aq,Alajarvi,-206.694010631537
Aq,Alajarvi,-165.796071174512
Aq,Alajarvi,-109.27271453231
Aq,Alajarvi,-166.096704642572
Aq,Alajarvi,-185.850829942432
Aq,Alajarvi,-175.725296445886
Aq,Alajarvi,-156.135781862255
Aq,Alajarvi,-228.189318422735
Aq,Alajarvi,-183.340773262677
Aq,Alajarvi,-188.543342541639
Aq,Alajarvi,-166.393635448211
Aq,Alajarvi,-174.947051093299
Aq,Alajarvi,-179.684043328238
Aq,Alajarvi,-234.166097634243
Aq,Alajarvi,-196.200489818738
Aq,Alajarvi,-204.742800674663
Aq,Alajarvi,-187.119392990367
Aq,Alajarvi,-198.713074213448
Aq,Alajarvi,-195.004126773077
Aq,Alajarvi,-170.557610794133
Aq,Alajarvi,-199.438208346052
Aq,Alajarvi,-215.929943861058
Aq,Alajarvi,-165.544297833381
Aq,Alajarvi,-197.395383028506
Aq,Alajarvi,-179.25974718385
Aq,Alajarvi,-182.305261849353
Aq,Alajarvi,-239.803537445962
Aq,Alajarvi,-163.565486223964
Aq,Alajarvi,-183.43703638472
Aq,Alajarvi,-141.238511652439
Aq,Alajarvi,-156.508325106945
Aq,Alajarvi,-200.573142753849
Aq,Alajarvi,-167.037872839357
Aq,Alajarvi,-197.272203324294
Aq,Alajarvi,-170.958284531064
Aq,Alajarvi,-237.308059836155
Aq,Alajarvi,-198.807467084577
Aq,Alajarvi,-150.736085382863
Aq,Alajarvi,-165.112981389515
Aq,Alajarvi,-197.885886249694
Aq,Alajarvi,-134.044657525144
Aq,Alajarvi,-175.273584274598
Aq,Alajarvi,-192.545986857573
Aq,Alajarvi,-135.45957531439
Aq,Alajarvi,-170.881166078806
Aq,Alajarvi,-186.801062867185
Aq,Alajarvi,-164.153077495864
Aq,Alajarvi,-200.857215401936
Aq,Alajarvi,-152.637555381563
Aq,Alajarvi,-183.951440169267
Aq,Alajarvi,-203.667553260418
Aq,Alajarvi,-190.952953308894
Aq,Alajarvi,-166.534154798389
Aq,Alajarvi,-181.361191749057
Aq,Alajarvi,-212.862078702157
Aq,Alajarvi,-142.489430657873
Aq,Alajarvi,-197.288146008655
Aq,Alajarvi,-163.018444097889
Aq,Alajarvi,-192.329619661064
Aq,Alajarvi,-204.14939245331
Aq,Alajarvi,-203.875130467475
Aq,Alajarvi,-224.335665002116
Aq,Alajarvi,-168.823547402478
Aq,Alajarvi,-148.923258351418
Aq,Alajarvi,-182.667418610354
Aq,Alajarvi,-166.871521630522
Aq,Alajarvi,-164.194065419499
Aq,Alajarvi,-206.29008324771
Aq,Alajarvi,-176.02340204981
Aq,Alajarvi,-176.368119965953
Aq,Alajarvi,-177.039220659978
Aq,Alajarvi,-166.758604957582
Aq,Alajarvi,-169.077216324065
Aq,Alajarvi,-138.428118267149
Aq,Alajarvi,-216.003400187353
Aq,Alajarvi,-215.497085491441
Aq,Alajarvi,-200.836869515149
Aq,Alajarvi,-222.293973054524
Aq,Alajarvi,-208.662751496009
Aq,Alajarvi,-182.648451216371
Aq,Alajarvi,-191.692950583213
Aq,Alajarvi,-218.167997841235
Aq,Alajarvi,-179.372291201105
Aq,Alajarvi,-176.24690553371
Aq,Alajarvi,-159.756797566814
Aq,Alajarvi,-212.702067707332
Ter,Alajarvi,-114.531479033338
Ter,Alajarvi,-117.973447837379
Ter,Alajarvi,-116.349960230162
Ter,Alajarvi,-131.543576192642
Ter,Alajarvi,-91.8776528154054
Ter,Alajarvi,-121.480681700886
Ter,Alajarvi,-126.124951369101
Ter,Alajarvi,-118.17886865779
Ter,Alajarvi,-115.695725625381
Ter,Alajarvi,-110.745187610211
Ter,Alajarvi,-122.624340986705
Ter,Alajarvi,-104.716698350316
Ter,Alajarvi,-106.288008074755
Ter,Alajarvi,-98.5997089062889
Ter,Alajarvi,-120.860981867165
Ter,Alajarvi,-131.382251939264
Ter,Alajarvi,-111.478404719105
Ter,Alajarvi,-133.863529497988
Ter,Alajarvi,-105.667851804978
Ter,Alajarvi,-117.068878513595
Ter,Alajarvi,-113.320567002156
Ter,Alajarvi,-109.12767619375
Ter,Alajarvi,-105.398434520999
Ter,Alajarvi,-111.924307197141
Ter,Alajarvi,-110.882964335812
Ter,Alajarvi,-102.476650357052
Ter,Alajarvi,-123.751219277321
Ter,Alajarvi,-123.890478313622
Ter,Alajarvi,-110.237541036559
Ter,Alajarvi,-104.346345039781
Ter,Alajarvi,-107.174993890067
Ter,Alajarvi,-101.354961340745
Ter,Alajarvi,-119.019509306643
Ter,Alajarvi,-120.622192873808
Ter,Alajarvi,-120.161691975329
Ter,Alajarvi,-127.663088714775
Ter,Alajarvi,-95.060147853982
Ter,Alajarvi,-111.006295658038
Ter,Alajarvi,-109.141278795422
Ter,Alajarvi,-102.250288286953
Ter,Alajarvi,-100.958097382896
Ter,Alajarvi,-125.004009820029
Ter,Alajarvi,-109.822950092261
Ter,Alajarvi,-127.276301447404
Ter,Alajarvi,-135.136312042205
Ter,Alajarvi,-123.515210518327
Ter,Alajarvi,-111.067135370409
Ter,Alajarvi,-101.572345508832
Ter,Alajarvi,-120.655618724997
Ter,Alajarvi,-127.627764627891
Ter,Alajarvi,-112.1197903608
Ter,Alajarvi,-83.2303357380373
Ter,Alajarvi,-111.513675810417
Ter,Alajarvi,-122.099629837222
Ter,Alajarvi,-103.786739602906
Ter,Alajarvi,-105.291818460182
Ter,Alajarvi,-124.661388688908
Ter,Alajarvi,-115.824521504606
Ter,Alajarvi,-104.425318552517
Ter,Alajarvi,-124.846426241307
Ter,Alajarvi,-129.589367494394
Ter,Alajarvi,-122.147985557192
Ter,Alajarvi,-154.618307498137
Ter,Alajarvi,-135.067197386919
Ter,Alajarvi,-118.922718849015
Ter,Alajarvi,-114.683538132051
Ter,Alajarvi,-105.08049526713
Ter,Alajarvi,-114.591552088579
Ter,Alajarvi,-126.857898731647
Ter,Alajarvi,-115.792945990952
Ter,Alajarvi,-110.1160459552
Ter,Alajarvi,-139.72348680608
