source,Lake,Meand2H,SDd2H,n
Aq,Alajarvi,-186.41801289,23.568178436,24
Ter,Alajarvi,-107.6226538,11.24911444,26
Aq,Alanne,-197.09073096,23.568178436,24
Ter,Alanne,-116.0608698,11.24911444,26
Aq,Arkusjarvi,-175.1445781,23.568178436,24
Ter,Arkusjarvi,-114.1863044,11.24911444,26
Aq,Erajarvi,-172.3608335,23.568178436,24
Ter,Erajarvi,-105.071282,11.24911444,26
Aq,Haapajarvi,-193.25015796,23.568178436,24
Ter,Haapajarvi,-115.0555968,11.24911444,26
Aq,Hameenjarvi,-178.58224895,23.568178436,24
Ter,Hameenjarvi,-112.5301472,11.24911444,26
Aq,Hiidenvesi,-180.95510281,23.568178436,24
Ter,Hiidenvesi,-107.3981103,11.24911444,26
Aq,Hirvijarvi,-196.07315752,23.568178436,24
Ter,Hirvijarvi,-104.1248817,11.24911444,26
Aq,Horkajarvi,-183.07519532,23.568178436,24
Ter,Horkajarvi,-107.8739156,11.24911444,26
Aq,Joroisselka,-183.04500745,23.568178436,24
Ter,Joroisselka,-106.0091761,11.24911444,26
Aq,Jyvasjarvi,-193.15084524,23.568178436,24
Ter,Jyvasjarvi,-117.1846732,11.24911444,26
Aq,Kakkisenjarvi,-189.52881359,23.568178436,24
Ter,Kakkisenjarvi,-122.0211105,11.24911444,26
Aq,Kakskerranjarvi,-166.53130663,23.568178436,24
Ter,Kakskerranjarvi,-119.0366617,11.24911444,26
Aq,Koylionjarvi,-171.61824597,23.568178436,24
Ter,Koylionjarvi,-128.7707308,11.24911444,26
Aq,Kuhajarvi,-186.015645,23.568178436,24
Ter,Kuhajarvi,-120.1635496,11.24911444,26
Aq,Kuontijarvi,-197.58111818,23.568178436,24
Ter,Kuontijarvi,-126.8224907,11.24911444,26
Aq,Majajarvi,-186.26252309,23.568178436,24
Ter,Majajarvi,-113.8357938,11.24911444,26
Aq,Niemisjarvi,-187.41012315,23.568178436,24
Ter,Niemisjarvi,-109.6171607,11.24911444,26
Aq,Paajarvi,-184.18660347,23.568178436,24
Ter,Paajarvi,-112.2347898,11.24911444,26
Aq,Pankajarvi,-183.7472593,23.568178436,24
Ter,Pankajarvi,-109.0458876,11.24911444,26
Aq,Pesosjarvi,-201.14872585,23.568178436,24
Ter,Pesosjarvi,-126.282697,11.24911444,26
Aq,Pusulanjarvi,-180.02906975,23.568178436,24
Ter,Pusulanjarvi,-103.3482182,11.24911444,26
Aq,Pyhajarvi,-184.66111659,23.568178436,24
Ter,Pyhajarvi,-107.0741703,11.24911444,26
Aq,Ruokojarvi,-178.52029415,23.568178436,24
Ter,Ruokojarvi,-124.0395778,11.24911444,26
Aq,Saaksjarvi,-187.68351182,23.568178436,24
Ter,Saaksjarvi,-110.7539312,11.24911444,26
Aq,Saaskjarvi,-183.565191,23.568178436,24
Ter,Saaskjarvi,-102.675097,11.24911444,26
Aq,Suuri-Vahvanen,-175.74228127,23.568178436,24
Ter,Suuri-Vahvanen,-114.287914,11.24911444,26
Aq,Suuri Jukajarvi,-182.29925358,23.568178436,24
Ter,Suuri Jukajarvi,-107.7536817,11.24911444,26
Aq,Tottijarvi,-171.94044408,23.568178436,24
Ter,Tottijarvi,-101.6140361,11.24911444,26
Aq,Valkea-Kotinen,-173.4111489,23.568178436,24
Ter,Valkea-Kotinen,-111.6510602,11.24911444,26
Aq,Vesijarvi,-174.83213053,23.568178436,24
Ter,Vesijarvi,-98.86860931,11.24911444,26
Aq,Viippero,-188.68565055,23.568178436,24
Ter,Viippero,-118.3097904,11.24911444,26
Aq,Viitaanjarvi,-198.73522168,23.568178436,24
Ter,Viitaanjarvi,-121.1743208,11.24911444,26
Aq,Villikkalanjarvi,-184.66111659,23.568178436,24
Ter,Villikkalanjarvi,-103.4644617,11.24911444,26
Aq,Ylisjarvi,-170.58686046,23.568178436,24
Ter,Ylisjarvi,-116.4236811,11.24911444,26
