"","Lake.name","Abbreviation","PC1","PC2","PC3"
"1","Alajärvi","ALJ",-0.239660097254651,-2.48536450210651,-0.524831722484474
"2","Arkusjärvi","ARK",1.10943831895237,3.81029012010588,-1.00336206492413
"3","Eräjärvi","ERA",0.9409783574794,1.06407140562378,-0.885473997573367
"4","Haapajärvi","HAP",-0.161957091949184,-3.67101863723202,1.26009761977402
"5","Hiidenvesi","HII",1.525783366073,-0.782853836834536,1.91024062168358
"6","Hirvijärvi","HIR",-2.88736404685178,-0.83884115089903,-1.01009026227734
"7","Horkajärvi","HOR",-3.58083883329764,-1.01130884660426,-0.149325006127333
"8","Hämeenjärvi","HAM",-1.4895931171665,1.50275257966844,-0.0654404692683366
"10","Joroisselkä","JOR",-0.335518411504963,-0.624308507031599,2.80952179578081
"11","Jyväsjärvi","JYV",-0.120136875636605,0.0783703674984889,0.633541808526801
"12","Kakkisenjärvi","KAK",-2.60264185421303,0.284734680041466,-0.873439299509316
"13","Kakskerranjärvi","KKJ",2.75921245190258,1.92781646487584,-0.953462850665536
"15","Kuhajärvi","KUH",0.548777709636749,1.67290808696271,-1.65724873255749
"16","Kuontijärvi","KUO",-0.113298154439816,1.05035662128663,-0.615932129462804
"17","Köyliönjärvi","KOY",4.77240330063264,-1.34563939435415,-2.1701734127245
"18","Majajärvi","MAJ",-3.56101509270442,-1.29137846015021,-0.240425390451699
"20","Niemisjärvi","NIE",-0.825902354382282,-3.0665935971318,-1.00724503890336
"23","Pankajärvi","PAN",-1.03396964902352,0.0456403750472117,-0.383218738893778
"24","Pesosjärvi","PES",-1.64515303621535,1.38997165197393,-0.378632386978875
"25","Pusulanjärvi","PUS",0.890419574729615,-0.862619228410847,-0.34618718513267
"26","Pyhäjärvi","PYH",3.97520278456136,-0.982105787298753,3.38690925380048
"27","Pääjärvi","PAA",0.234368924948743,1.02840307283958,3.39807004671138
"30","Ruokojärvi","RUO",-0.913896048090339,2.49898413520892,-0.160640758384427
"31","Suuri-Vahvanen","SUU",-1.43904639434488,1.97167945763386,0.0557885050851296
"32","Suuri Jukajärvi","SUJ",-0.627201771390484,2.75585389923043,2.46301799617172
"34","Sääksjärvi","SAJ",0.769121627853861,2.02774409964723,-0.694131548507662
"35","Sääskjärvi","SAA",3.49133584294132,-1.22892517877628,-1.50376528861739
"36","Tottijärvi","TOT",3.07918953091596,-0.0205745804915101,-2.26149372008785
"37","Valkea-Kotinen","VAL",-3.05805620673157,1.03807358430585,-1.34953189344117
"39","Vesijärvi","VES",3.12949092684202,2.05128396079451,2.8065013424975
"40","Viippero","VIP",-2.15593379136128,0.199915931598696,-0.916621548565043
"41","Viitaanjärvi","VIT",-1.6602183136226,-2.85206091696645,1.52780813621374
"42","Villikkalanjärvi","VIL",2.37286733440362,-2.59991896305058,-0.473121038632451
"44","Ylisjärvi","YLI",2.10195131226657,-1.71443079673848,-1.4137656029432
"45","Älänne","ALA",-3.24914022395892,-1.02090811026645,0.786062960869028
