,Lake,d2H
Aq,Alajarvi,-166.322502074547
Aq,Alajarvi,-196.663446290203
Aq,Alajarvi,-185.563788375142
Aq,Alajarvi,-197.694379933843
Aq,Alajarvi,-247.40945195241
Aq,Alajarvi,-194.261062124734
Aq,Alajarvi,-174.838237968528
Aq,Alajarvi,-216.361325717726
Aq,Alajarvi,-166.060408508924
Aq,Alajarvi,-163.694805088328
Aq,Alajarvi,-187.546956541402
Aq,Alajarvi,-170.176391427243
Aq,Alajarvi,-131.472411945349
Aq,Alajarvi,-169.596486055705
Aq,Alajarvi,-160.868186086432
Aq,Alajarvi,-182.576888086043
Aq,Alajarvi,-204.909293688614
Aq,Alajarvi,-165.964144592817
Aq,Alajarvi,-180.429504457519
Aq,Alajarvi,-210.635047512387
Aq,Alajarvi,-177.840074147769
Aq,Alajarvi,-148.104064684517
Aq,Alajarvi,-181.173788731768
Aq,Alajarvi,-176.455426934362
Aq,Alajarvi,-185.275688244663
Aq,Alajarvi,-209.133292070011
Aq,Alajarvi,-188.675234002791
Aq,Alajarvi,-190.768677635768
Aq,Alajarvi,-211.188401131663
Aq,Alajarvi,-197.500476661949
Aq,Alajarvi,-210.065854191079
Aq,Alajarvi,-203.153384214662
Aq,Alajarvi,-198.559512179968
Aq,Alajarvi,-186.980015153114
Aq,Alajarvi,-187.073914804302
Aq,Alajarvi,-210.164297932804
Aq,Alajarvi,-198.486733569116
Aq,Alajarvi,-215.390867640941
Aq,Alajarvi,-191.513693884412
Aq,Alajarvi,-194.039650361674
Aq,Alajarvi,-123.391306052098
Aq,Alajarvi,-197.785185648149
Aq,Alajarvi,-165.926390479686
Aq,Alajarvi,-183.851163281337
Aq,Alajarvi,-171.920814063474
Aq,Alajarvi,-213.924906347961
Aq,Alajarvi,-184.558219523865
Aq,Alajarvi,-194.957091623017
Aq,Alajarvi,-164.932429437582
Aq,Alajarvi,-184.109820362172
Aq,Alajarvi,-197.293958501365
Aq,Alajarvi,-149.65768526204
Aq,Alajarvi,-180.165385025661
Aq,Alajarvi,-224.681522114931
Aq,Alajarvi,-205.121660498769
Aq,Alajarvi,-182.754915159189
Aq,Alajarvi,-177.910568439327
Aq,Alajarvi,-141.161279328451
Aq,Alajarvi,-162.775159164674
Aq,Alajarvi,-144.146821569503
Aq,Alajarvi,-185.514457671326
Aq,Alajarvi,-192.067845347549
Aq,Alajarvi,-190.500250294878
Aq,Alajarvi,-138.168773770175
Aq,Alajarvi,-247.693337924639
Aq,Alajarvi,-165.550176607023
Aq,Alajarvi,-179.381994432436
Aq,Alajarvi,-164.506926869665
Aq,Alajarvi,-171.232892607506
Aq,Alajarvi,-190.398529377512
Aq,Alajarvi,-156.240663606652
Aq,Alajarvi,-221.469864945836
Aq,Alajarvi,-206.541438438694
Aq,Alajarvi,-189.484307868975
Aq,Alajarvi,-215.12928000585
Aq,Alajarvi,-195.956248702011
Aq,Alajarvi,-209.148788123044
Aq,Alajarvi,-149.62101641846
Aq,Alajarvi,-175.537826648406
Aq,Alajarvi,-176.904505948684
Aq,Alajarvi,-209.387755427579
Aq,Alajarvi,-187.185769506096
Aq,Alajarvi,-205.042884859876
Aq,Alajarvi,-179.290048650078
Aq,Alajarvi,-174.50606597982
Aq,Alajarvi,-185.464323512441
Aq,Alajarvi,-169.293846489056
Aq,Alajarvi,-196.600012608262
Aq,Alajarvi,-210.878303973609
