,Lake,Meand2H,SDd2H,n
Aq,Alajarvi,-186.41801289,23.568178436,24
Ter,Alajarvi,-113.952521203724,11.24911444,26
Aq,Alanne,-197.09073096,23.568178436,24
Ter,Alanne,-121.933066913451,11.24911444,26
Aq,Arkusjarvi,-175.1445781,23.568178436,24
Ter,Arkusjarvi,-124.169549583916,11.24911444,26
Aq,Erajarvi,-172.3608335,23.568178436,24
Ter,Erajarvi,-113.757759382304,11.24911444,26
Aq,Haapajarvi,-193.25015796,23.568178436,24
Ter,Haapajarvi,-121.508517959433,11.24911444,26
Aq,Hameenjarvi,-178.58224895,23.568178436,24
Ter,Hameenjarvi,-121.470078170506,11.24911444,26
Aq,Hiidenvesi,-180.95510281,23.568178436,24
Ter,Hiidenvesi,-114.800895020261,11.24911444,26
Aq,Hirvijarvi,-196.07315752,23.568178436,24
Ter,Hirvijarvi,-107.760776994611,11.24911444,26
Aq,Horkajarvi,-183.07519532,23.568178436,24
Ter,Horkajarvi,-114.939918647132,11.24911444,26
Aq,Joroisselka,-183.04500745,23.568178436,24
Ter,Joroisselka,-112.699427472018,11.24911444,26
Aq,Jyvasjarvi,-193.15084524,23.568178436,24
Ter,Jyvasjarvi,-124.094011535677,11.24911444,26
Aq,Kakkisenjarvi,-189.52881359,23.568178436,24
Ter,Kakkisenjarvi,-130.662906317472,11.24911444,26
Aq,Kakskerranjarvi,-166.53130663,23.568178436,24
Ter,Kakskerranjarvi,-131.777517514506,11.24911444,26
Aq,Koylionjarvi,-171.61824597,23.568178436,24
Ter,Koylionjarvi,-142.463408388907,11.24911444,26
Aq,Kuhajarvi,-186.015645,23.568178436,24
Ter,Kuhajarvi,-129.144445659355,11.24911444,26
Aq,Kuontijarvi,-197.58111818,23.568178436,24
Ter,Kuontijarvi,-134.79843452644,11.24911444,26
Aq,Majajarvi,-186.26252309,23.568178436,24
Ter,Majajarvi,-121.470078170506,11.24911444,26
Aq,Niemisjarvi,-187.41012315,23.568178436,24
Ter,Niemisjarvi,-116.152337058638,11.24911444,26
Aq,Paajarvi,-184.18660347,23.568178436,24
Ter,Paajarvi,-119.966345985868,11.24911444,26
Aq,Pankajarvi,-183.7472593,23.568178436,24
Ter,Pankajarvi,-116.214281257994,11.24911444,26
Aq,Pesosjarvi,-201.14872585,23.568178436,24
Ter,Pesosjarvi,-133.417365751621,11.24911444,26
Aq,Pusulanjarvi,-180.02906975,23.568178436,24
Ter,Pusulanjarvi,-110.111176258471,11.24911444,26
Aq,Pyhajarvi,-184.66111659,23.568178436,24
Ter,Pyhajarvi,-113.651542751719,11.24911444,26
Aq,Ruokojarvi,-178.52029415,23.568178436,24
Ter,Ruokojarvi,-135.349551562434,11.24911444,26
Aq,Saaksjarvi,-187.68351182,23.568178436,24
Ter,Saaksjarvi,-117.465944753374,11.24911444,26
Aq,Saaskjarvi,-183.565191,23.568178436,24
Ter,Saaskjarvi,-108.575921106795,11.24911444,26
Aq,Suuri-Vahvanen,-175.74228127,23.568178436,24
Ter,Suuri-Vahvanen,-124.169549583916,11.24911444,26
Aq,Suuri Jukajarvi,-182.29925358,23.568178436,24
Ter,Suuri Jukajarvi,-114.953986180406,11.24911444,26
Aq,Tottijarvi,-171.94044408,23.568178436,24
Ter,Tottijarvi,-109.678506763179,11.24911444,26
Aq,Valkea-Kotinen,-173.4111489,23.568178436,24
Ter,Valkea-Kotinen,-121.470078170506,11.24911444,26
Aq,Vesijarvi,-174.83213053,23.568178436,24
Ter,Vesijarvi,-105.778490547023,11.24911444,26
Aq,Viippero,-188.68565055,23.568178436,24
Ter,Viippero,-126.364132315357,11.24911444,26
Aq,Viitaanjarvi,-198.73522168,23.568178436,24
Ter,Viitaanjarvi,-127.757027905332,11.24911444,26
Aq,Villikkalanjarvi,-184.66111659,23.568178436,24
Ter,Villikkalanjarvi,-109.302496309081,11.24911444,26
Aq,Ylisjarvi,-170.58686046,23.568178436,24
Ter,Ylisjarvi,-127.798692479555,11.24911444,26
