"species" "Alajarvi" "Alanne" "Arkusjarvi" "Erajarvi" "Haapajarvi" "Hameenjarvi" "Hiidenvesi" "Hirvijarvi" "Horkajarvi" "Joroisselka" "Jyvasjarvi" "Kakkisenjarvi" "Kakskerranjarvi" "Koylionjarvi" "Kuhajarvi" "Kuontijarvi" "Majajarvi" "Niemisjarvi" "Paajarvi" "Pankajarvi" "Pesosjarvi" "Pusulanjarvi" "Pyhajarvi" "Ruokojarvi" "Saaksjarvi" "Saaskjarvi" "Suuri-Vahvanen" "Suuri Jukajarvi" "Tottijarvi" "Valkea-Kotinen" "Vesijarvi" "Viippero" "Viitaanjarvi" "Villikkalanjarvi" "Ylisjarvi"
"20" "global" "0.07" "0.70" "0.07" "0.10" "0.20" "0.20" "0.04" "0.47" "0.69" "0.16" "0.21" "0.65" "0.11" "0.07" "0.01" "0.03" "0.45" "0.17" "0.04" "0.26" "0.29" "0.09" "0.03" "0.25" "0.05" "0.05" "0.17" "0.10" "0.02" "0.45" "0.03" "0.47" "0.33" "0.06" "0.03"
"5" "Bulk_ZPL" "0.05" "0.60" "0.08" "0.09" "0.15" "0.14" "0.03" "0.33" "0.52" "0.13" "0.17" "0.53" "0.12" "0.07" "0.01" "0.03" "0.29" "0.14" "0.03" "0.22" "0.19" "0.07" "0.03" "0.19" "0.05" "0.05" "0.13" "0.07" "0.03" "0.35" NA "0.34" "0.24" "0.05" "0.03"
"6" "Chaoborus" NA "0.32" NA "0.01" "0.03" NA "0.00" "0.21" "0.48" "0.02" "0.03" NA "0.01" NA NA NA NA NA NA "0.04" NA "0.01" NA "0.05" NA "0.00" NA NA NA "0.13" NA "0.19" "0.09" NA NA
"9" "Cladocera" "0.10" "0.74" "0.26" "0.22" "0.28" "0.23" "0.08" NA "0.59" "0.26" "0.33" "0.67" "0.34" "0.21" "0.05" "0.07" "0.36" NA "0.07" NA "0.29" "0.16" "0.09" "0.33" "0.13" "0.16" "0.26" "0.14" "0.10" NA "0.11" "0.45" "0.36" "0.14" "0.08"
"10" "Copepods" NA "0.04" "0.00" "0.00" "0.01" "0.00" "0.00" NA "0.03" "0.01" "0.01" "0.03" "0.01" "0.00" "0.00" "0.00" "0.01" NA "0.00" "0.01" "0.01" "0.00" "0.00" "0.01" "0.00" "0.00" NA NA "0.00" NA NA "0.01" "0.01" "0.00" "0.00"
"3" "Bulk_BMI_littoral" "0.21" "0.86" "0.60" "0.46" "0.50" "0.39" "0.21" "0.57" "0.69" "0.48" "0.58" "0.81" "0.68" "0.52" "0.15" "0.17" "0.47" "0.49" "0.16" "0.64" "0.45" "0.35" "0.25" "0.55" "0.34" "0.42" "0.48" "0.28" "0.31" "0.71" "0.34" "0.61" "0.55" "0.36" "0.21"
"1" "Asellus_littoral" "0.35" "0.93" "0.74" "0.63" "0.67" "0.57" "0.35" "0.74" "0.83" "0.65" "0.73" "0.90" "0.79" "0.67" "0.26" "0.28" "0.66" "0.66" "0.27" "0.78" NA "0.52" "0.39" "0.72" "0.50" "0.58" "0.65" "0.44" "0.45" "0.83" "0.49" "0.77" "0.72" "0.52" "0.34"
"7" "Chironomid_littoral" "0.19" NA NA "0.28" "0.44" NA "0.12" "0.70" "0.85" "0.38" "0.46" NA NA "0.21" "0.05" "0.10" "0.69" "0.40" "0.12" "0.53" "0.53" "0.24" NA NA "0.15" "0.16" "0.39" "0.25" "0.08" "0.72" "0.10" "0.71" "0.59" "0.18" "0.11"
"4" "Bulk_BMI_profundal" "0.45" "0.95" "0.74" "0.68" "0.74" "0.67" "0.42" "0.84" NA "0.72" "0.79" NA "0.81" "0.69" "0.29" "0.35" NA "0.73" "0.35" "0.83" "0.74" "0.59" "0.42" "0.79" "0.55" "0.61" "0.73" "0.54" "0.47" NA "0.50" NA "0.80" "0.57" "0.39"
"8" "Chironomid_Profundal" "0.71" "0.99" "0.81" "0.82" "0.89" "0.88" "0.63" "0.96" NA "0.87" "0.91" "0.98" "0.87" "0.78" "0.42" "0.57" NA "0.88" "0.60" "0.93" "0.92" "0.79" NA "0.92" "0.70" "0.72" "0.88" "0.78" "0.57" "0.96" "0.60" "0.96" "0.93" NA "0.59"
"11" "Perch_large" "0.13" "0.85" "0.04" "0.12" "0.30" "0.38" "0.05" "0.75" "0.91" "0.22" "0.29" "0.82" "0.08" "0.05" "0.01" "0.05" "0.77" "0.26" "0.06" "0.34" "0.53" "0.12" "0.03" "0.38" "0.05" "0.04" "0.24" "0.17" "0.02" NA "0.02" "0.73" "0.53" "0.06" "0.04"
"14" "Pike" NA "0.85" "0.10" "0.18" "0.36" "0.40" "0.08" "0.72" NA "0.28" "0.36" NA "0.16" "0.10" "0.02" "0.07" "0.72" "0.31" NA "0.42" NA "0.17" "0.05" "0.43" "0.08" "0.08" NA NA NA "0.67" NA "0.72" "0.55" "0.10" "0.06"
"13" "Perch_small" "0.01" "0.34" "0.00" "0.01" "0.04" "0.05" "0.01" "0.22" NA "0.03" "0.04" "0.29" "0.01" "0.00" "0.00" "0.00" "0.25" "0.03" "0.01" "0.05" NA "0.01" "0.00" "0.05" "0.00" "0.00" "0.03" "0.02" "0.00" NA NA "0.20" "0.10" "0.01" "0.00"
"18" "Smelt" NA NA "0.00" "0.00" "0.01" "0.01" "0.00" NA NA "0.00" "0.01" NA "0.00" "0.00" NA NA NA NA "0.00" NA NA "0.00" "0.00" "0.01" NA "0.00" "0.00" "0.00" NA NA "0.00" NA "0.01" "0.00" "0.00"
"19" "Vendace" "0.04" "0.60" NA NA "0.12" "0.14" "0.02" NA NA "0.08" NA NA NA NA NA NA NA NA "0.02" NA NA NA NA NA NA NA NA "0.06" NA NA "0.01" NA "0.24" NA NA
"2" "Bleak" "0.06" "0.67" "0.04" "0.07" "0.16" "0.18" "0.03" NA NA "0.12" "0.16" NA NA "0.04" NA NA NA "0.13" NA "0.20" NA "0.06" "0.02" "0.20" NA "0.03" "0.13" "0.08" "0.01" NA "0.01" NA "0.30" "0.04" "0.02"
"12" "Perch_medium" "0.05" "0.66" "0.02" "0.04" "0.13" "0.18" "0.02" "0.51" "0.77" "0.09" "0.12" "0.61" "0.03" "0.02" "0.00" "0.02" NA "0.11" "0.02" "0.16" "0.28" "0.05" "0.01" "0.17" "0.02" "0.01" "0.10" "0.07" "0.01" "0.39" "0.01" "0.48" "0.28" "0.02" "0.01"
"15" "Roach_large" "0.03" "0.52" "0.01" "0.02" "0.08" "0.11" "0.01" "0.39" NA "0.05" "0.07" "0.48" "0.02" "0.01" "0.00" "0.01" NA "0.06" "0.01" "0.09" NA "0.03" "0.01" "0.11" "0.01" "0.01" "0.06" "0.04" "0.00" NA "0.00" "0.36" "0.19" "0.01" "0.01"
"16" "Roach_small" "0.01" NA "0.01" "0.01" "0.04" "0.05" "0.01" NA NA "0.03" NA "0.27" "0.01" "0.01" "0.00" NA NA "0.03" NA "0.05" NA "0.01" "0.00" "0.05" "0.01" "0.01" "0.03" NA "0.00" NA "0.00" "0.18" "0.09" "0.01" "0.00"
"17" "Ruffe" "0.12" "0.79" "0.27" "0.24" "0.33" "0.28" "0.10" "0.52" NA "0.30" "0.38" "0.73" "0.36" "0.23" "0.05" NA NA "0.31" "0.08" "0.44" NA "0.19" "0.09" "0.39" "0.15" "0.17" "0.31" "0.17" "0.10" NA "0.12" "0.54" "0.43" "0.16" "0.09"
